participant,session,experiment,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,region_count
0,0,4,2,Down,1,0.38417598695813504,0.003568625384512572,0.19355429299673818,0.003613466741044077,0.9247549019607844,0.02721537548559631,0.14413109300490423,16,16
0,0,4,2,Down,2,0.32423776377497665,0.0034450301545798155,0.1914586004446204,0.005657652388818852,0.885551948051948,0.051123048496662056,0.12396389530954507,16,16
0,0,4,2,Down,all,0.3394962401914396,0.003024205717157122,0.19337303571551273,0.0022000570400017164,0.9193292818292819,0.01666417638534084,,0,16
0,0,4,3,Left,0,0.3161037042864635,0.004323485594575966,0.19463621938308814,0.005777227857117591,0.9463046757164404,0.03671523862825415,0.12132655998527203,15,15
0,0,4,3,Left,1,0.3804364682374395,0.004526625065504791,0.1964891161273797,0.003305126857444895,0.9712418300653595,0.020087503785988444,0.1673353427258234,15,15
0,0,4,3,Left,2,0.32643978812514607,0.006735361294497451,0.18746909447218935,0.00454233781801107,0.8796536796536797,0.036667166809648856,0.11010001603690514,15,15
0,0,4,3,Left,all,0.34099332021634965,0.003440839254242925,0.19286480999421907,0.0019482368798813255,0.9324000618118264,0.014711739224882071,,0,15
0,0,4,4,Right,0,0.3198701791384956,0.0050298112701107015,0.19416262249301128,0.006160104862789039,0.9081714133617248,0.029226912398181832,0.1202292325279056,17,17
0,0,4,4,Right,1,0.37680101194697807,0.004505140845789423,0.19919942527676354,0.0042785219793235255,0.9222606689734717,0.054713178481017484,0.1291318851585388,17,17
0,0,4,4,Right,2,0.32718380148223175,0.003870038031340567,0.1909847732519396,0.003948559750297649,0.9343009931245225,0.06204301634835082,0.11584166851266076,17,17
0,0,4,4,Right,all,0.34128499752256847,0.0019506248900830374,0.19478227367390483,0.002913780914836639,0.9215776918199063,0.011897996604263252,,0,17
0,1,0,0,Noise,0,0.37831003089010423,0.009421684431772059,0.19563252026891656,0.005889640978072189,0.9163465642338882,0.03278221619554782,0.11271122241070326,14,44
0,1,0,0,Noise,1,0.42417090280383757,0.007448044015855452,0.1839495349632978,0.010941154506688824,0.8964349376114082,0.03570534290912004,0.15577921493720287,14,44
0,1,0,0,Noise,2,0.4042065174125187,0.008508829898724162,0.19320095334094917,0.005361163077168804,0.873666239863423,0.0534797190122487,0.05262747927642619,14,44
0,1,0,0,Noise,all,0.4022291503688202,0.005632329344389999,0.19092766952438786,0.003886022695451541,0.8954825805695731,0.020224473874167,,0,44
0,1,0,1,Up,0,0.37991813155901677,0.005156372731987773,0.197906143602411,0.003799741356484194,0.9251956181533647,0.03321962575949146,0.10678312814272777,15,15
0,1,0,1,Up,1,0.4244542297003943,0.00520081711316156,0.18831566664820223,0.004863324225820596,0.9286274509803921,0.030383571571349514,0.1424609700259156,15,15
0,1,0,1,Up,2,0.40159931054867576,0.004569045316577723,0.19148083480685835,0.003713879017992067,0.92018779342723,0.02458793129419635,0.08463350037692975,15,15
0,1,0,1,Up,all,0.4019905572693622,0.0028296202642152236,0.19256754835249051,0.0029101440839695404,0.9246702875203289,0.01988594821054606,,0,15
0,1,0,2,Down,0,0.36407910202471316,0.0051172973700532,0.19408985967009243,0.003678315165672151,0.9455951394642365,0.020735741367782317,0.12335520611303066,17,17
0,1,0,2,Down,1,0.4164717265256181,0.0027419210986177572,0.1819151496778051,0.007239194355405976,0.9280276816608997,0.023770867983474834,0.1601567282382932,17,17
0,1,0,2,Down,2,0.3964242495935698,0.004866709136369355,0.196559479425718,0.003419221274109573,0.9320629660314831,0.044881672913565825,0.08767354359206656,17,17
0,1,0,2,Down,all,0.39232502604796704,0.002842206762965043,0.19085482959120514,0.0016707148755729043,0.935228595718873,0.01819968865524049,,0,17
0,1,0,3,Left,0,0.37496187974176937,0.008358093712873112,0.19945459613053573,0.003745316995056497,0.9275234741784038,0.022933923909300387,0.14232294540856497,16,16
0,1,0,3,Left,1,0.4161320905638341,0.005427333911385483,0.1866622830113195,0.0043165083362391495,0.9235294117647059,0.022091116522120376,0.14416814492365912,16,16
0,1,0,3,Left,2,0.39906375557553847,0.00655544018101886,0.1943216984470118,0.0026020098179858724,0.9363262910798122,0.02519330951038201,0.0875848486186271,16,16
0,1,0,3,Left,all,0.3967192419603806,0.004287830533767815,0.1934795258629557,0.0023464831634365424,0.9291263923409739,0.012842770202290337,,0,16
0,1,0,4,Right,0,0.37998234436883355,0.008116336173058137,0.1953666811387919,0.004107178679111598,0.9445422535211268,0.02651474002325104,0.14589254749590827,16,16
0,1,0,4,Right,1,0.42143417215567425,0.00731095597673181,0.18778767775099534,0.004996604543915039,0.9446078431372549,0.028598785899313556,0.1682669364396883,16,16
0,1,0,4,Right,2,0.4073523979655652,0.006006926439022687,0.19455759961438518,0.004418465515313629,0.909330985915493,0.03549572113345145,0.08865601605238653,16,16
0,1,0,4,Right,all,0.402922971496691,0.005739716072127639,0.19257065283472413,0.0019708364675459274,0.9328270275246249,0.011811948831108837,,0,16
0,1,1,0,Noise,0,0.3260028780570836,0.00857562354609142,0.18583363809623143,0.007465842662218575,0.8532517079229882,0.06109270887587028,0.10346027291131824,14,51
0,1,1,0,Noise,1,0.3955140809994842,0.00963677388210334,0.19204407902640871,0.009183510038431045,0.906881968473664,0.02421031947838803,0.13192474199982104,14,51
