participant,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,session_count,region_count
3,1,Up,1,0.3311801022372761,0.024443708204098677,0.21418448257192668,0.009937737295028155,0.9148329125498713,0.04269055400210585,0.12381911560599217,505,6,531
3,1,Up,2,0.3229379280599049,0.023795384787299655,0.19353609914048597,0.014638552767972626,0.9426039713958657,0.037410632083172086,0.11018362626421407,505,6,531
3,1,Up,all,0.31807874361203237,0.016612579403426333,0.20989548065446906,0.005324135577127735,0.9280683008165775,0.026473839133967808,,0,6,531
3,2,Down,0,0.3050893721364002,0.019623101925462075,0.22144549233385422,0.01279844821530697,0.9332477374683269,0.043229521941117385,0.15738565282054245,428,6,437
3,2,Down,1,0.33331002878205657,0.027889576392043054,0.21446209200421912,0.010954699158199552,0.9158773314106349,0.04343172270819347,0.11346822161879772,428,6,437
3,2,Down,2,0.32883552699784935,0.023526137495418015,0.19603866558043975,0.019312311135603853,0.9071339828969934,0.03959459963197105,0.1107037477092449,428,6,437
3,2,Down,all,0.3224116426387687,0.018174905121245234,0.2106487499728377,0.005789291190561431,0.9187530172586518,0.024004642100740735,,0,6,437
3,3,Left,0,0.29905546025862817,0.018461867416495425,0.22392021524700612,0.012483397283793302,0.9225138136993087,0.04182128216177497,0.1643119282856501,456,6,459
3,3,Left,1,0.3313957632510865,0.02637175335469212,0.21863434763909212,0.01084721566547107,0.927623638412128,0.0496835104569825,0.12854884150133014,456,6,459
3,3,Left,2,0.31831676315985874,0.02621047881044727,0.1991772604359461,0.014959239026454393,0.9225557383964047,0.03884869775025836,0.12205933503271922,456,6,459
3,3,Left,all,0.31625599555652445,0.018777228275164256,0.21391060777401474,0.005642524490264037,0.9242310635026137,0.025082937637653412,,0,6,459
3,4,Right,0,0.3025002800837288,0.02053160464529581,0.22175222103702946,0.013219557961330957,0.9188311837186662,0.043666547114833566,0.15808726020029407,507,6,510
3,4,Right,1,0.32072749047067756,0.028045105355015552,0.21103163574944192,0.010576427933279451,0.8941895077671117,0.04708941580088851,0.11820575102833426,507,6,510
3,4,Right,2,0.3134888941552281,0.020969151891823922,0.1974498299383196,0.01552101797906369,0.9000728144725485,0.043117604080855666,0.11149330441966934,507,6,510
3,4,Right,all,0.31223888823654483,0.01790381875471778,0.21007789557493034,0.005664220614320818,0.9043645019861087,0.025008668548085707,,0,6,510
