label,label_name,channel,region_idx,n_samples,mean,std,range,ssim,participant,session,experiment
0,Noise,1,45,36,0.45184682419976524,0.18590484473601918,0.8666666666666667,0.13330117672457129,0,0,0
0,Noise,2,45,36,0.38862155095031803,0.18832603742290963,0.9041095890410958,0.12294464193935678,0,0,0
0,Noise,0,46,25,0.3912022792022792,0.19357863301932415,0.9120370370370371,0.12079744820700321,0,0,0
0,Noise,1,46,25,0.4371016591251885,0.1884653136740377,0.8549019607843137,0.12026834649085322,0,0,0
0,Noise,2,46,25,0.4049877063575694,0.18776459873528165,0.8995433789954338,0.10066951489605874,0,0,0
0,Noise,0,47,29,0.38155639060811475,0.19810515154640768,0.9351851851851852,0.10152462575674533,0,0,0
0,Noise,1,47,29,0.42602382066885114,0.19304685818231562,0.8823529411764706,0.13090515735184421,0,0,0
0,Noise,2,47,29,0.3987536790087569,0.19560137455864118,0.908675799086758,0.09977109903924744,0,0,0
0,Noise,0,48,35,0.3877696377696378,0.19346357133370112,0.9490740740740741,0.11276594847324954,0,0,0
0,Noise,1,48,35,0.4369023917259211,0.19371679034474362,0.8705882352941177,0.13817612099154492,0,0,0
0,Noise,2,48,35,0.38340508806262236,0.19355637140727042,0.8995433789954338,0.06804120711203684,0,0,0
0,Noise,0,49,21,0.3875780084113417,0.19767971286244673,0.9120370370370371,0.08397573367695824,0,0,0
0,Noise,1,49,21,0.44035911800617683,0.1908590972038195,0.8549019607843137,0.17095130601175992,0,0,0
0,Noise,2,49,21,0.39567297238530114,0.1843792309128834,0.9041095890410958,0.07571446640851262,0,0,0
0,Noise,0,50,27,0.3863102775139812,0.1974146271593906,0.8888888888888888,0.12071288501091214,0,0,0
0,Noise,1,50,27,0.4357723032232836,0.18913636688433966,0.8627450980392157,0.13743437102017525,0,0,0
0,Noise,2,50,27,0.4129154795821463,0.18785925617004273,0.9041095890410958,0.11365600100200303,0,0,0
0,Noise,0,51,33,0.39094254510921184,0.1893139049959698,0.9027777777777778,0.0897408707655914,0,0,0
0,Noise,1,51,33,0.44603044014808724,0.1877049293417446,0.9019607843137255,0.14300937638462138,0,0,0
0,Noise,2,51,33,0.39625336611637973,0.19886092415164283,0.8995433789954338,0.11336214703223206,0,0,0
0,Noise,0,52,30,0.39251187084520417,0.19602839813175502,0.9074074074074074,0.10847585540634234,0,0,0
0,Noise,1,52,30,0.4457275012569131,0.1832291885414804,0.8627450980392157,0.13894815786106063,0,0,0
0,Noise,2,52,30,0.3957428872497366,0.19300304846122707,0.9041095890410958,0.08239088862133724,0,0,0
0,Noise,0,53,30,0.3919848053181386,0.19914956363143335,0.8935185185185185,0.09569505278845433,0,0,0
0,Noise,1,53,30,0.4423921568627451,0.18207985097758683,0.823529411764706,0.16020782566096867,0,0,0
0,Noise,2,53,30,0.4078093900011707,0.18547607141994724,0.9041095890410958,0.1345193005995997,0,0,0
0,Noise,0,54,13,0.39443348674117906,0.18804275341380405,0.8935185185185185,,0,0,0
0,Noise,1,54,13,0.4450980392156863,0.1897991295771816,0.8666666666666667,,0,0,0
0,Noise,2,54,13,0.4029261570884331,0.18727980799106786,0.8904109589041096,,0,0,0
0,Noise,0,55,38,0.38215811965811963,0.19947010908985938,0.9212962962962963,0.09549365033299541,0,0,0
0,Noise,1,55,38,0.44505755338572683,0.18767158847510823,0.8666666666666667,0.09405428382993443,0,0,0
0,Noise,2,55,38,0.39909322832898897,0.18955412617333725,0.8904109589041096,0.09438064836132724,0,0,0
0,Noise,0,56,40,0.39784366096866086,0.19082173241456257,0.9398148148148148,0.08906458361056455,0,0,0
0,Noise,1,56,40,0.43438009049773757,0.18188856935739217,0.8901960784313725,0.12854271175206236,0,0,0
0,Noise,2,56,40,0.3998753073410608,0.19351112946809795,0.9041095890410958,0.1167009203800154,0,0,0
0,Noise,0,57,49,0.388385952671667,0.19907523038048766,0.8935185185185185,0.09756376732165285,0,0,0
0,Noise,1,57,49,0.44193000277033895,0.1847352473595101,0.8666666666666667,0.15829453122725234,0,0,0
0,Noise,2,57,49,0.40792025977935953,0.18430055424592356,0.908675799086758,0.12238912646580635,0,0,0
1,Up,0,0,85,0.3784891905480141,0.1914158155432059,0.8842592592592593,0.08559506299833639,0,0,0
1,Up,1,0,85,0.4439261822376009,0.1858276576089474,0.9333333333333333,0.11857736485902154,0,0,0
1,Up,2,0,85,0.4092439926444761,0.19776177706773276,1.0,0.07760843089137785,0,0,0
1,Up,0,1,81,0.386116387042313,0.1915816189997173,0.8842592592592593,0.10961572688623407,0,0,0
1,Up,1,1,81,0.451274975327263,0.18305078822512816,0.9333333333333333,0.12867702173067144,0,0,0
1,Up,2,1,81,0.4116514242846054,0.20489062775462047,0.9954337899543378,0.13049657303754283,0,0,0
1,Up,0,2,70,0.3814250101750102,0.19142374070060317,0.8935185185185185,0.1099481474869639,0,0,0
1,Up,1,2,70,0.4532518853695325,0.17957310981179248,0.9254901960784314,0.10374358918296954,0,0,0
1,Up,2,2,70,0.40869737568367703,0.19842334040045373,1.0,0.09760313095741312,0,0,0
1,Up,0,3,77,0.38267380767380765,0.19335485723202814,0.8981481481481481,0.12872932027554024,0,0,0
1,Up,1,3,77,0.4493447728741846,0.17782620655493644,0.9294117647058824,0.13115340700793374,0,0,0
1,Up,2,3,77,0.4102564102564102,0.1999896614384567,0.9817351598173516,0.09106967946648632,0,0,0
