participant,session,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,experiment_count,region_count
0,4,0,Noise,1,0.4262367508822365,0.017558364003701424,0.16984882865169867,0.008336132738939206,0.8843137254901959,0.04819289351639963,0.09809484344912464,30,5,146
0,4,0,Noise,2,0.4081367259888508,0.014716013669334824,0.183985943427562,0.007813795151843871,0.8975055316767739,0.0559288580366525,0.09608148836529035,30,5,146
0,4,0,Noise,all,0.4117177144452867,0.012565588837555049,0.17236706452833783,0.0047678376748907,0.9011953703060166,0.030572433510833993,,0,5,146
0,4,1,Up,0,0.40451089882149593,0.015253096309948767,0.16577067704274945,0.007386183196645565,0.9259946008782413,0.048986906872311095,0.12824209786961266,99,5,102
0,4,1,Up,1,0.4328513598477724,0.017031097508091255,0.17804823840944523,0.004915653642385024,0.9629373317954633,0.028910515251761623,0.10406787655724595,99,5,102
0,4,1,Up,2,0.4090449775226188,0.012137788598221838,0.18282568494640541,0.0065507211276513875,0.9280142246926292,0.040446389387133214,0.10568459340498415,99,5,102
0,4,1,Up,all,0.41546907873062905,0.013039447990402657,0.1755482001328667,0.0026604531193025814,0.9389820524554446,0.019414518626440044,,0,5,102
0,4,2,Down,0,0.4013697920724475,0.013987666761164485,0.16321686940694627,0.0044733535788445975,0.9582249964084615,0.02766183967179654,0.1118760777290533,92,5,92
0,4,2,Down,1,0.4342227230929746,0.016184697410261004,0.16897219361452204,0.006256194385674851,0.9053282182438194,0.04008340385083525,0.10806644348315002,92,5,92
0,4,2,Down,2,0.40784597064103006,0.010817800944883745,0.18394591822157907,0.006271864847389232,0.9159370944018426,0.0490512631488266,0.13992027726860143,92,5,92
0,4,2,Down,all,0.4144794952688174,0.011122953199099095,0.17204499374768248,0.003882916351042727,0.9264967696847077,0.025050943958539355,,0,5,92
0,4,3,Left,0,0.40987416131016047,0.015459202812799298,0.15979021699864063,0.005334102488286877,0.931547943412643,0.04346589259949184,0.12572804163168952,93,5,95
0,4,3,Left,1,0.4321526681802153,0.015426311610988348,0.17030642268306603,0.005439538423636551,0.9059236326109391,0.03277774353565462,0.11959781212072224,93,5,95
0,4,3,Left,2,0.40381791088649654,0.011922057356861436,0.18606447353204375,0.005982906598304638,0.9316340320337254,0.04479418819864825,0.13868039664359064,93,5,95
0,4,3,Left,all,0.4152815801256241,0.012520939100144159,0.17205370440458345,0.0029914774588162725,0.9230352026857693,0.0227598230459658,,0,5,95
0,4,4,Right,0,0.40719967873504875,0.015076329245638297,0.16272448363987463,0.006486191064353354,0.9399043298080397,0.036807413185471934,0.13889572145236628,103,5,107
0,4,4,Right,1,0.4225026340060393,0.016032222832529114,0.1766799756270677,0.006787042190044306,0.9212387758841855,0.04058333436117439,0.12025224020163106,103,5,107
0,4,4,Right,2,0.4085794178624866,0.012053087251647773,0.18644138398245774,0.006609599745760843,0.9182906603869734,0.052539762131968724,0.12891314725897918,103,5,107
0,4,4,Right,all,0.4127605768678582,0.011791710907104071,0.17528194774980002,0.003974346669665253,0.9264779220263996,0.028016907073753414,,0,5,107
0,5,0,Noise,0,0.4118521755760775,0.01611803683042951,0.17166187426618806,0.01083049137664599,0.90611257086318,0.04439039294205736,0.07807297283913855,32,5,114
0,5,0,Noise,1,0.43103413791819206,0.016343018360291617,0.17116761034244793,0.008681739689569878,0.9006535947712418,0.051796525764706426,0.0944348573096293,32,5,114
0,5,0,Noise,2,0.4079081072674384,0.010054186431200065,0.1816626559925319,0.009740248585738638,0.9048917925558486,0.06346241211970585,0.08776911744827093,32,5,114
0,5,0,Noise,all,0.416931473587236,0.010113763446333413,0.17483071353372262,0.006260583824608754,0.9038859860634235,0.03048589203033261,,0,5,114
0,5,1,Up,0,0.41722568927727066,0.014064106264688288,0.17435315986868127,0.008272727998357718,0.9276835197103447,0.028551588565932966,0.11614573337527319,98,5,104
0,5,1,Up,1,0.441680394418122,0.012839556118105389,0.1752319706065708,0.005931436808382446,0.9538838612368024,0.03393537105398748,0.10627466818052868,98,5,104
0,5,1,Up,2,0.4088861154646119,0.009599362986240135,0.18094079215622993,0.006134638170342881,0.9360280148300366,0.03815948758607263,0.09868157344130175,98,5,104
0,5,1,Up,all,0.42259739972000154,0.00801344850111219,0.17684197421049402,0.004500576781719643,0.9391984652590613,0.018581231979746538,,0,5,104
0,5,2,Down,0,0.4090562453658925,0.014536180357039184,0.17495810223935127,0.008281487219162883,0.9414799358314345,0.034224381487503557,0.11210362320006553,92,5,94
0,5,2,Down,1,0.43233448300826954,0.015952949065552318,0.16864346766595323,0.005056748734929742,0.9263245723821444,0.044127826371938614,0.10758101823894488,92,5,94
0,5,2,Down,2,0.40881949984793126,0.009146244812277424,0.18174397740158946,0.008055927519295373,0.9264317255329622,0.04209435536649853,0.11922531894654749,92,5,94
0,5,2,Down,all,0.4167367427406978,0.00971689883863953,0.17511518243563134,0.004419387214686285,0.9314120779155137,0.02284637201630522,,0,5,94
0,5,3,Left,0,0.4149252535083099,0.016875391957761544,0.17298581104964977,0.008540885480775607,0.9259578001013623,0.03714899558111981,0.11300014296206612,96,5,102
0,5,3,Left,1,0.43263844125559614,0.013668786204774547,0.16899568078130553,0.005891432695142968,0.9230296039984622,0.0453179635657302,0.11479745184643785,96,5,102
0,5,3,Left,2,0.40797793211369043,0.007641711086346466,0.1820289517402521,0.006609266121189132,0.9379083980350057,0.03944401241556983,0.12336058093814578,96,5,102
0,5,3,Left,all,0.41851387562586545,0.009574892963142423,0.17467014785706914,0.004959187696296,0.9289652673782768,0.02490213842603246,,0,5,102
0,5,4,Right,0,0.4121906412646304,0.015598825071730703,0.1712030902213947,0.010570935818675383,0.9171457047542978,0.03236036456641672,0.1323435625850866,92,5,97
0,5,4,Right,1,0.4312090654367797,0.01587640670003878,0.17214416301577024,0.00598328481603309,0.9108550636749546,0.044050477057585545,0.11400548357866704,92,5,97
0,5,4,Right,2,0.4070881624987418,0.008821171786820193,0.1791907874201002,0.009099629833121504,0.9101863829902439,0.04839798011783636,0.11368225839038205,92,5,97
0,5,4,Right,all,0.416829289733384,0.010327005013589362,0.17417934688575504,0.005914495613235783,0.9127290504731654,0.023388124653075482,,0,5,97
1,0,0,Noise,0,0.34998108080683615,0.011789552655053668,0.23403763493247215,0.008468058074225415,0.9085354027283519,0.03250355684787866,0.10811520521041834,142,5,313
1,0,0,Noise,1,0.3741258698473702,0.01046693168805509,0.17969839042226143,0.007622226300434655,0.885502512096098,0.04697981554510847,0.09598102333259322,142,5,313
1,0,0,Noise,2,0.3361554941300166,0.019652432340801416,0.2058256578339026,0.008636854044796425,0.8915116206226901,0.04944300625475698,0.1298067700227624,142,5,313
1,0,0,Noise,all,0.3534208149280743,0.008830375597124534,0.20652056106287875,0.0046334842529655845,0.8951831784823798,0.026108231834027308,,0,5,313
1,0,1,Up,0,0.35087378668542984,0.00971296502808975,0.23470550013171404,0.007241593539435649,0.9464856021941769,0.027775868687388867,0.113751202270335,98,5,99
1,0,1,Up,1,0.3723653927239495,0.006693164831781705,0.17868135083070694,0.0051787697685809495,0.9207546139853461,0.037805213534284995,0.08590912711998533,98,5,99
1,0,1,Up,2,0.3368111387434557,0.02164538263808439,0.20471682610499925,0.006223322906697992,0.9481481481481481,0.039500985238822034,0.13455316083518143,98,5,99
1,0,1,Up,all,0.353350106050945,0.00886072550316182,0.2060345590224734,0.0032153759736019017,0.9384627881092238,0.021583194239906116,,0,5,99
1,0,2,Down,0,0.3479897943036581,0.00951213603508233,0.23158587363403046,0.005792422466077486,0.9419607043710758,0.03279075672032709,0.11084049410974604,88,5,88
1,0,2,Down,1,0.36704720895885595,0.0069765190816192405,0.17615096920927995,0.005687407316485071,0.9184838618622918,0.0376129353365661,0.1055649371704994,88,5,88
